Player,Test_Rank,Test_Matches,Test_Innings,Test_Average,Test_Strike_Rate,Test_Highest_Score,Test_Fours,Test_Sixes,Test_Fifties,Test_Hundreds,Test_Runs,ODI_Rank,ODI_Matches,ODI_Innings,ODI_Average,ODI_Strike_Rate,ODI_Highest_Score,ODI_Fours,ODI_Sixes,ODI_Fifties,ODI_Hundreds,ODI_Runs,T20I_Rank,T20I_Matches,T20I_Innings,T20I_Average,T20I_Strike_Rate,T20I_Highest_Score,T20I_Fours,T20I_Sixes,T20I_Fifties,T20I_Hundreds,T20I_Runs,Gender
Shardul Thakur,89.0,13.0,21.0,18.85,59.84,67,46,9,4,-,377.0,74.0,47.0,25.0,17.31,105.11,50.0,31,9,1,-,329.0,46.0,25.0,6.0,23.0,181.57,22.0,5,4,-,-,69.0,Male
Shikhar Dhawan,30.0,34.0,58.0,40.61,66.94,190,316,12,5,7,2315.0,10.0,167.0,164.0,44.11,91.35,143.0,842,79,39,17,6793.0,6.0,68.0,66.0,27.92,126.36,92.0,191,50,11,-,1759.0,Male
Shiv Sunder Das,46.0,23.0,40.0,34.89,38.92,110,180,1,9,2,1326.0,163.0,4.0,4.0,13.0,50.64,30.0,2,1,-,-,39.0,,,,,,,,,,,,Male
Shivam Dube,,,,,,,,,,,,161.0,4.0,4.0,10.75,89.58,25.0,3,2,-,-,43.0,16.0,67.0,51.0,31.7,155.33,66.0,69,68,6,-,1078.0,Male
Shivam Mavi,,,,,,,,,,,,,,,,,,,,,,,59.0,6.0,2.0,14.0,155.55,26.0,2,2,-,-,28.0,Male
Shivlal Yadav,85.0,35.0,40.0,14.39,37.91,43,30,1,-,-,403.0,233.0,7.0,2.0,0.0,6.25,1.0,-,-,-,-,1.0,,,,,,,,,,,,Male
Shreyas Iyer,63.0,14.0,24.0,36.86,63.01,105,94,16,5,1,811.0,22.0,79.0,73.0,45.98,98.6,128.0,276,76,23,5,3035.0,14.0,54.0,50.0,30.38,135.89,74.0,98,45,9,-,1185.0,Male
Shubman Gill,25.0,41.0,74.0,44.31,61.85,269,333,47,8,11,2969.0,19.0,64.0,63.0,59.09,101.04,208.0,367,67,18,9,3191.0,18.0,36.0,36.0,28.03,138.59,126.0,98,26,3,1,869.0,Male
Siddarth Kaul,,,,,,,,,,,,238.0,3.0,2.0,0.5,33.33,1.0,-,-,-,-,1.0,,,,,,,,,,,,Male
Sourav Ganguly,7.0,113.0,188.0,42.17,51.25,239,900,57,35,16,7212.0,4.0,311.0,300.0,41.02,73.7,183.0,1122,190,72,22,11363.0,,,,,,,,,,,,Male
